date,method,fleet,capacity,coef_wait,reqs counted,all service,all served,all WT,all TD,SWSD service,SWSD served,SWSD WT,SWSD TD,Travel time,Load
20130506,OSP-SR,200,4 (1),0,1820,382,300,187.09,203.04,379,297,182.14,205.09,WEEK,2.02
20130506,OSP-SR,1000,4 (1),1.0,373837,222851,222444,187.44,210.24,219914,219550,176.1,212.9,WEEK,2.22
20130507,OSP-SR,1000,4 (1),1.0,398043,228543,228094,187.81,210.53,225528,225110,177.03,213.22,WEEK,2.27
20130508,OSP-SR,1000,4 (1),1.0,408490,236336,235850,187.66,211.46,233338,232880,176.42,214.07,WEEK,2.33
20130505,OSP-SR,1000,4 (1),1.0,360178,260730,260456,183.03,203.76,257649,257413,173.25,206.13,SUN,2.26
20130509,OSP-SR,1000,4 (1),1.0,417040,236572,236028,187.11,211.12,233708,233189,176.93,213.59,WEEK,2.35
20130510,OSP-SR,1000,4 (1),1.0,421661,239799,239163,187.9,211.21,236771,236143,176.67,213.81,WEEK,2.42
20130511,OSP-SR,1000,4 (1),1.0,419245,257247,256733,184.76,209.92,254513,254009,175.81,212.11,SAT,2.43
20130507,OSP,2000,6 (10),1.0,398043,372173,371458,162.43,181.14,365763,365173,146.3,184.19,WEEK,1.75
20130506,OSP,2000,6 (10),1.0,373837,356959,356516,164.04,178.73,350496,350079,146.17,181.95,WEEK,1.67
20130510,OSP,2000,6 (10),1.0,421661,393928,392872,160.9,184.71,388028,387011,145.77,187.46,WEEK,1.89
20130511,OSP,2000,6 (10),1.0,419245,407609,406808,155.52,175.18,401801,401032,141.18,177.67,SAT,1.8
20130509,OSP,2000,6 (10),1.0,417040,387559,386636,159.72,183.91,381961,381133,145.59,186.51,WEEK,1.82
20130508,OSP,2000,6 (10),1.0,408490,383028,382226,160.99,181.31,376776,376091,144.95,184.22,WEEK,1.78
20130505,OSP,2000,6 (10),1.0,360178,358036,357837,153.31,158.45,352096,351898,136.13,161.09,SUN,1.45
20130506,OSP-RO,2000,4 (7),1.0,373837,353524,353078,164.14,171.17,347637,347205,147.05,174.04,WEEK,1.64
20130506,OSP,300,4 (7),1.0,1535,1535,1525,276.42,85.78,1109,1104,160.22,99.41,WEEK,0.24
20130506,OSP-SR,300,4 (1),1.0,1535,1535,1529,286.71,87.41,1103,1100,162.69,98.05,WEEK,0.24
20130506,OSP-RO,300,4 (7),1.0,1535,1535,1527,278.08,91.76,1125,1120,160.84,105.69,WEEK,0.24
20130506,OSP,300,4 (7),1.0,1535,1083,1077,162.6,106.08,1004,999,154.39,96.16,WEEK,0.18
20130506,OSP-SR,300,4 (1),1.0,1535,1082,1076,168.69,110.78,974,968,154.8,100.11,WEEK,0.18
20130506,OSP-RO,300,4 (7),1.0,1535,1092,1086,164.18,118.79,1001,995,154.89,109.12,WEEK,0.18
20130506,GI,300,4 (0),1.0,919,770,761,166.33,128.62,692,683,154.59,116.38,WEEK,0.39
20130506,OSP,300,4 (7),1.0,919,763,755,170.24,121.13,695,687,160.36,110.46,WEEK,0.39
20130506,OSP-RO,300,4 (7),1.0,919,807,799,165.94,114.41,742,734,156.59,105.45,WEEK,0.4
20130506,OSP-SR,300,4 (1),1.0,919,770,764,166.11,115.6,695,689,156.37,100.55,WEEK,0.39
20130506,GI,300,4 (0),1.0,919,759,751,165.0,128.49,687,679,155.15,114.23,WEEK,0.39
20130506,OSP,2200,4 (7),1.0,373837,356210,355801,164.47,172.24,349554,349152,145.86,175.46,WEEK,1.5
20130506,OSP,2200,4 (7),1.0,373837,255296,254953,174.08,214.59,255295,254952,174.08,214.59,WEEK,1.15
20130506,OSP-RO,2000,6 (10),1.0,373837,362538,362102,151.65,176.57,356916,356483,135.31,179.33,WEEK,1.69
20130506,OSP,2200,4 (7),1.0,373837,357539,357151,162.24,155.59,350666,350282,143.41,158.59,WEEK,1.48
20130506,OSP-RO,2000,10 (18),1.0,373837,365141,364710,149.31,177.32,359519,359090,132.9,180.07,WEEK,1.71
20130506,OSP-RO,2200,4 (7),1.0,373837,361808,361409,155.4,153.69,355550,355151,137.34,156.37,WEEK,1.49
20130506,OSP-RO,3000,4 (7),1.0,373837,373837,373460,137.28,118.46,366918,366541,117.55,120.68,WEEK,1.08
20130511,OSP-RO,200,4 (7),1.0,3598,2335,2290,212.94,202.57,2217,2185,180.85,211.7,SAT,1.63
20130511,OSP-RO,200,4 (7),1.0,1150,1108,1061,215.42,131.4,1035,1007,162.85,138.02,SAT,0.86
20130511,OSP,200,4 (7),1.0,1150,1057,1024,275.35,107.3,945,924,200.75,117.79,SAT,0.8
20130511,OSP,200,4 (7),1.0,1150,1079,1041,224.98,123.6,1003,983,166.94,130.2,SAT,0.84
20130511,OSP-RO,200,4 (7),1.0,1150,1092,1060,246.29,112.36,997,977,182.71,121.27,SAT,0.83
20130511,OSP-RO,200,4 (7),1.0,1150,1099,1056,220.01,125.31,1025,1000,166.5,132.07,SAT,0.85
20130511,OSP-RO,200,4 (7),1.0,1150,1086,1045,240.55,126.13,1000,976,182.0,134.56,SAT,0.84
20130511,OSP-RO,200,4 (7),1.0,1150,1119,1078,199.72,125.33,1061,1037,158.08,129.89,SAT,0.86
20130511,OSP-RO,600,4 (7),1.0,3449,3444,3361,149.17,101.67,3361,3292,132.62,103.67,SAT,0.85
20130511,OSP-RO,1000,4 (7),1.0,5748,5748,5635,125.39,95.19,5702,5597,120.28,95.76,SAT,0.86
20130506,OSP-RO,600,4 (7),1.0,6889,5401,5234,177.35,207.67,5383,5217,176.24,208.22,WEEK,2.0
20130506,OSP-RO,800,4 (7),1.0,9184,7581,7364,185.28,204.05,7517,7304,175.56,205.61,WEEK,2.1
20130506,OSP-RO,600,4 (7),1.0,6889,5445,5281,169.86,213.79,5425,5263,168.58,214.34,WEEK,2.04
20130506,OSP-SR,600,4 (1),1.0,5741,4891,4763,182.94,193.96,4801,4676,166.53,197.1,WEEK,1.79
20130506,OSP-RO,600,4 (7),1.0,5741,4943,4839,199.1,180.26,4874,4772,184.11,182.54,WEEK,1.75
20130506,OSP-SR,600,6 (1),1.0,5741,4853,4746,182.74,185.21,4833,4728,181.13,185.78,WEEK,1.76
20130506,OSP-RO,600,6 (10),1.0,5741,5036,4933,202.38,176.55,4937,4838,181.61,179.8,WEEK,1.79
20130506,OSP-RO,600,6 (10),1.0,5741,5061,4958,207.3,180.92,4943,4841,183.19,184.99,WEEK,1.81
20130506,OSP-RO,600,6 (10),1.0,5741,5057,4948,199.94,187.4,4948,4842,175.09,191.24,WEEK,1.82
20130506,OSP-RO,600,6 (10),1.0,5741,5149,5013,194.25,198.99,5019,4888,164.33,203.85,WEEK,1.86
20130506,OSP-RO,600,6 (10),1.0,5741,5157,5029,190.33,200.42,5027,4905,160.36,205.41,WEEK,1.88
20130506,OSP-RO,600,6 (10),1.0,5741,5156,5028,189.16,198.68,5033,4907,160.14,203.29,WEEK,1.87
20130506,OSP-RO,600,6 (10),1.0,5741,5139,4997,193.65,196.38,5001,4863,162.53,201.58,WEEK,1.87
20130506,OSP-RO,600,6 (10),1.0,5741,5142,5015,195.65,192.91,5017,4892,168.32,197.58,WEEK,1.86
20130506,OSP-RO,600,6 (10),1.0,5741,5094,4966,195.55,195.62,4979,4855,168.62,199.98,WEEK,1.85
20130506,OSP-SR,600,6 (1),1.0,5741,4948,4826,183.97,198.32,4827,4707,163.34,202.62,WEEK,1.81
20130506,OSP-SR,600,6 (1),1.0,5741,4989,4863,184.24,190.92,4866,4744,162.61,194.96,WEEK,1.81
20130506,OSP,600,6 (10),1.0,5741,4917,4791,190.56,198.48,4807,4687,170.55,202.45,WEEK,1.81
20130506,OSP,600,6 (10),1.0,5741,5026,4891,188.92,195.28,4897,4766,166.03,199.8,WEEK,1.83
20130506,OSP,600,6 (10),1.0,5741,4942,4815,190.3,191.72,4844,4719,168.66,195.25,WEEK,1.81
20130506,OSP,600,6 (10),1.0,5741,4920,4786,191.69,189.03,4834,4703,173.9,191.96,WEEK,1.79
20130506,OSP,600,10 (18),1.0,5741,4973,4843,189.1,190.06,4885,4759,170.73,193.05,WEEK,1.8
20130506,OSP-RO,600,10 (18),1.0,5741,5149,5020,192.04,193.35,5038,4911,166.44,197.46,WEEK,1.87
20130506,OSP-RO,600,10 (18),1.0,5741,5157,5028,193.34,197.27,5027,4902,163.65,202.2,WEEK,1.86
20130511,OSP-SR,300,6 (1),1.0,4674,2577,2472,188.58,210.79,2518,2424,175.21,214.76,SAT,2.0
20130511,OSP-SR,200,6 (1),1.0,2377,1374,1317,184.06,208.85,1344,1292,172.86,212.47,SAT,1.63
20130511,OSP-SR,200,6 (1),1.0,2377,1374,1317,184.06,208.85,1344,1292,172.86,212.47,SAT,1.63
